pid,event,time,fac_heduc,fac_heblack,fac_mixed
149,1,21.002,16+,No,No
150,0,21.467,12-15,No,No
151,0,24.832,<12,No,No
152,0,41.999,<12,No,No
153,0,16.972,<12,No,No
154,0,14.867,12-15,Yes,No
155,1,7.1675,12-15,Yes,No
156,1,21.498,<12,Yes,No
157,1,7.1675,12-15,Yes,No
158,0,13.421,12-15,No,No
159,0,15.849,12-15,No,No
160,0,19.425,12-15,No,No
161,1,9.336,16+,No,No
162,1,10.587,16+,No,No
163,1,8.668,<12,No,No
164,0,34.004,<12,No,No
165,0,31.997,<12,No,No
166,1,9.5825,12-15,No,No
167,0,48.46,12-15,No,No
168,1,12.527,12-15,No,No
169,0,20.252,12-15,No,No
170,1,5.002,12-15,No,No
171,1,4.4955,16+,No,No
172,1,6.776,12-15,No,No
173,0,12.0,12-15,No,No
174,1,13.5795,12-15,No,No
175,1,11.291,12-15,No,No
176,0,40.602,<12,No,No
177,0,54.412,<12,No,No
178,0,9.563,12-15,No,No
179,0,7.901,12-15,No,No
180,0,24.03,16+,No,No
181,0,7.901,16+,No,No
182,0,43.685,<12,No,No
183,0,43.685,<12,No,No
184,0,29.366,12-15,No,No
185,0,2.554,12-15,No,No
186,1,4.668,12-15,No,No
187,1,4.9585,12-15,No,No
188,0,2.554,12-15,No,No
189,1,4.7365,12-15,No,No
190,0,1.624,12-15,No,No
191,0,42.919,16+,No,No
192,1,14.972,<12,No,No
193,1,3.748,12-15,No,No
194,0,1.106,12-15,No,No
195,1,2.6695,12-15,No,No
196,0,34.998,<12,No,No
197,1,34.075,<12,No,No
198,0,20.999,12-15,Yes,No
199,0,46.979,<12,No,No
200,0,28.775,16+,No,No
201,0,61.407,12-15,No,No
202,0,2.998,<12,No,No
203,0,22.475,16+,No,No
204,0,10.743,16+,No,No
205,0,35.335,<12,No,No
206,0,32.175,12-15,No,No
207,0,38.149,<12,No,No
208,1,11.2525,12-15,No,No
209,1,1.3335,<12,No,No
210,0,55.833,<12,No,No
211,0,41.164,<12,No,No
212,0,37.06,<12,No,No
213,1,4.9005,<12,No,No
214,1,28.738,12-15,No,No
215,1,1.232,12-15,No,No
216,0,29.634,16+,No,No
217,0,13.999,<12,No,No
218,0,38.324,12-15,No,No
219,0,5.541,16+,No,No
220,0,37.268,16+,No,No
221,0,53.459,<12,Yes,No
222,0,30.96,<12,Yes,No
223,0,7.001,<12,No,No
224,0,46.1,<12,No,No
225,0,54.79,12-15,No,No
226,0,30.001,16+,No,No
227,0,36.252,16+,No,No
228,0,24.999,<12,Yes,No
229,0,32.0,<12,No,No
230,0,25.999,<12,No,No
231,1,9.421,12-15,Yes,No
232,0,8.783,12-15,No,Yes
233,0,40.252,12-15,No,No
234,1,6.875,<12,No,No
235,1,13.588,16+,No,No
236,0,21.736,12-15,No,No
237,0,13.057,12-15,No,No
238,0,35.028,<12,No,No
239,0,24.26,<12,Yes,No
240,0,22.015,<12,Yes,No
241,0,34.571,<12,No,No
242,0,22.998,<12,No,No
243,0,46.823,16+,No,No
244,0,47.17,12-15,No,No
245,0,20.093,12-15,No,No
246,0,12.887,12-15,No,No
247,0,12.887,12-15,No,No
248,0,32.167,<12,No,No
249,0,52.671,<12,No,No
250,0,20.665,16+,No,No
251,0,18.76,16+,No,No
252,0,18.76,16+,No,No
253,1,10.587,12-15,No,No
254,1,7.6715,16+,No,No
255,0,25.073,16+,No,No
256,0,30.773,16+,No,No
257,0,0.879,<12,No,No
258,0,1.002,12-15,No,No
259,0,48.802,12-15,No,No
260,0,3.669,12-15,No,No
261,0,23.001,16+,No,No
262,0,48.413,<12,No,No
263,0,14.511,16+,No,No
264,0,49.916,<12,No,No
265,0,60.504,12-15,No,No
266,1,21.9315,<12,No,No
267,0,4.482,12-15,No,No
268,0,55.581,<12,No,No
269,0,42.582,12-15,No,No
270,0,26.604,16+,No,No
271,1,36.301,12-15,No,No
272,1,8.0,12-15,No,No
273,0,32.668,12-15,No,No
274,0,20.999,<12,No,No
275,0,57.049,<12,No,No
276,1,2.0835,12-15,No,No
277,0,9.016,12-15,No,No
278,0,44.0,<12,No,No
279,0,55.496,<12,No,No
280,0,61.832,<12,No,No
281,1,17.169,<12,No,No
282,1,14.7955,<12,No,No
283,1,10.6695,12-15,No,No
284,1,3.31,12-15,No,No
285,1,7.4345,12-15,No,No
286,1,18.757,12-15,No,No
287,0,3.888,12-15,No,No
288,1,21.7465,16+,No,No
289,0,3.425,<12,No,No
290,1,10.872,12-15,No,No
291,0,27.97,12-15,No,No
292,1,14.0125,12-15,No,No
293,1,21.0045,12-15,Yes,No
294,0,4.49,16+,No,No
295,0,10.653,12-15,No,No
296,0,10.653,12-15,No,No
297,0,59.948,12-15,No,No
298,1,9.0105,16+,No,No
299,1,8.999,16+,No,No
300,0,49.35,<12,No,No
301,0,56.101,<12,No,No
302,0,14.012,<12,No,No
303,0,22.982,<12,No,No
304,0,44.077,<12,No,No
305,0,47.88,16+,No,No
306,1,10.5955,<12,No,No
307,1,4.665,12-15,No,No
308,0,50.653,12-15,No,No
309,0,13.029,12-15,No,No
310,0,57.164,<12,No,No
311,1,1.4605,12-15,No,No
312,0,24.747,16+,No,No
313,0,51.001,<12,No,No
314,0,14.198,16+,No,No
315,0,44.383,16+,No,No
316,1,36.205,<12,No,No
317,0,47.001,12-15,No,No
318,0,50.962,12-15,No,No
319,0,38.42,12-15,No,No
320,0,23.458,<12,No,No
321,0,48.559,<12,No,No
322,1,10.9325,12-15,No,No
323,0,44.063,<12,No,No
324,0,22.579,16+,No,No
325,1,1.251,<12,No,No
326,0,16.309,<12,No,No
327,1,2.8335,12-15,No,No
328,0,15.671,12-15,No,No
329,0,11.587,16+,No,No
330,1,6.39,12-15,No,No
331,1,15.6715,12-15,No,No
332,1,17.7765,12-15,Yes,No
333,1,10.6355,<12,Yes,Yes
334,0,54.505,<12,Yes,No
335,0,14.631,16+,Yes,No
336,0,16.057,12-15,Yes,No
337,0,19.001,<12,No,No
338,0,19.001,<12,No,No
339,0,3.165,12-15,No,No
340,0,24.671,<12,No,No
341,1,1.1075,16+,No,No
342,1,27.499,<12,No,No
343,1,17.254,12-15,No,No
344,0,15.003,16+,No,No
345,0,14.768,16+,No,No
346,1,8.6845,12-15,No,No
347,1,9.0855,<12,No,No
348,1,6.0205,12-15,No,No
349,0,32.706,12-15,No,No
350,0,32.706,12-15,No,No
351,0,33.498,12-15,No,No
352,1,30.653,16+,No,No
353,0,34.04,16+,No,No
354,0,55.398,<12,No,No
355,0,51.707,<12,No,No
356,0,33.207,16+,No,No
357,0,8.758,16+,No,No
358,0,50.001,<12,No,No
359,0,18.971,16+,No,No
360,0,21.804,16+,No,No
361,0,5.53,16+,No,No
362,0,42.341,<12,No,No
363,0,10.179,12-15,No,No
364,0,0.972,12-15,No,No
365,0,0.972,12-15,No,No
366,0,14.565,<12,No,No
367,0,13.689,12-15,No,No
368,0,7.368,12-15,No,No
369,0,25.084,12-15,No,No
370,0,22.242,12-15,No,No
371,1,5.1525,12-15,No,No
372,0,18.858,12-15,No,No
373,1,7.5815,<12,No,No
374,1,37.5005,16+,No,No
375,0,53.498,<12,No,No
376,0,6.407,12-15,No,No
377,0,3.811,16+,No,No
378,0,9.569,<12,No,No
379,0,40.115,16+,No,No
380,0,34.582,12-15,No,No
381,0,7.546,16+,No,No
382,0,7.546,16+,No,No
383,0,58.053,12-15,No,No
384,0,11.272,12-15,No,No
385,0,60.208,<12,No,No
386,0,22.001,<12,No,No
387,0,21.164,12-15,No,No
388,1,20.0,16+,No,No
389,1,4.252,12-15,No,No
390,1,11.1675,12-15,No,No
391,1,10.2065,16+,No,No
392,0,50.385,16+,No,No
393,0,5.848,<12,No,Yes
394,1,1.6125,16+,No,No
395,0,35.381,<12,No,No
396,0,6.795,12-15,No,No
397,0,2.012,16+,No,No
398,1,4.082,12-15,No,No
399,0,1.807,12-15,No,No
400,1,4.739,12-15,No,No
401,0,5.09,16+,No,No
402,1,6.754,<12,No,No
403,0,32.769,<12,No,No
404,0,25.774,12-15,No,No
405,0,5.966,12-15,No,No
406,1,7.966,16+,No,No
407,0,52.611,<12,No,No
408,0,54.166,16+,No,No
409,0,22.765,12-15,No,No
410,1,5.0025,<12,No,No
411,0,29.229,12-15,No,No
412,0,49.125,<12,No,No
413,0,39.488,12-15,No,No
414,0,45.087,<12,No,No
415,1,4.6925,12-15,No,No
416,1,9.999,16+,No,No
417,1,2.3355,<12,No,No
418,0,11.88,12-15,No,No
419,0,8.654,12-15,No,No
420,0,2.042,<12,No,No
421,0,20.066,12-15,No,No
422,0,10.36,12-15,No,No
423,1,24.8325,16+,No,No
424,1,27.47,12-15,No,No
425,0,14.743,12-15,No,No
426,0,7.198,12-15,No,No
427,0,12.999,<12,No,No
428,0,45.235,<12,No,No
429,1,13.58,16+,No,No
430,0,21.706,12-15,No,No
431,0,37.582,<12,No,No
432,1,4.9145,12-15,No,No
433,0,14.196,12-15,No,No
434,1,2.6095,12-15,No,No
435,1,20.419,12-15,No,No
436,0,0.381,<12,No,No
437,0,61.771,<12,No,No
438,0,42.847,16+,No,No
439,0,23.565,12-15,No,No
440,0,42.01,12-15,No,No
441,0,46.138,<12,No,No
442,0,21.44,12-15,No,No
443,1,17.002,12-15,No,No
444,0,53.405,<12,No,No
445,1,9.166,12-15,No,No
446,0,10.831,12-15,No,No
447,0,5.038,16+,No,No
448,0,10.182,<12,No,No
449,0,23.348,<12,No,No
450,1,10.1655,12-15,No,No
451,0,35.001,<12,No,No
452,0,0.561,12-15,No,No
453,0,43.08,12-15,No,No
454,0,12.241,12-15,No,No
455,0,3.874,16+,No,No
456,0,6.023,<12,No,No
457,1,0.912,12-15,No,No
458,0,0.767,12-15,No,No
459,1,8.75,12-15,No,No
460,0,4.331,<12,No,No
461,0,13.999,<12,No,No
462,0,15.559,12-15,No,No
463,0,17.331,12-15,No,No
464,0,15.559,12-15,No,No
465,1,6.5815,12-15,No,No
466,1,6.086,<12,No,No
467,1,4.419,<12,No,No
468,1,5.914,12-15,No,No
469,0,36.356,<12,No,No
470,1,0.608,12-15,No,No
471,0,24.999,<12,No,No
472,1,6.2505,<12,No,No
473,0,16.726,12-15,No,No
474,0,11.833,12-15,No,No
475,0,29.823,12-15,No,No
476,1,5.9195,12-15,No,No
477,0,9.662,<12,No,Yes
478,0,40.597,12-15,No,No
479,0,40.597,12-15,No,No
480,1,0.9745,12-15,No,No
481,1,7.313,<12,No,No
482,0,3.526,<12,No,No
483,0,29.999,<12,No,No
484,0,11.584,16+,No,No
485,0,18.998,<12,No,No
486,0,31.017,<12,No,No
487,1,24.4035,<12,No,No
488,0,55.915,<12,No,No
489,0,55.915,<12,No,No
490,1,7.406,16+,No,No
491,1,1.9985,12-15,No,No
492,0,18.374,12-15,No,No
493,0,28.501,12-15,No,No
494,0,21.829,16+,No,No
495,0,24.0,16+,No,No
496,0,24.0,16+,No,No
497,0,38.215,12-15,No,No
498,1,18.3765,<12,No,No
499,1,19.347,<12,No,No
500,1,21.591,12-15,No,No
501,1,21.591,16+,No,No
502,0,32.033,12-15,No,No
503,0,27.42,16+,No,No
504,0,46.36,16+,No,No
505,1,3.918,12-15,No,No
506,1,5.251,12-15,No,No
507,0,1.793,12-15,No,No
508,0,24.025,12-15,No,No
509,0,24.025,12-15,No,No
510,0,25.555,16+,No,No
511,0,21.591,16+,No,No
512,0,23.639,12-15,No,No
513,0,32.394,16+,No,No
514,0,1.114,16+,No,No
515,0,34.001,12-15,No,No
516,0,30.094,<12,Yes,No
517,0,45.944,<12,Yes,No
518,1,24.794,<12,No,No
519,0,39.959,12-15,No,No
520,0,38.702,12-15,No,No
521,0,5.812,<12,No,No
522,1,5.3335,<12,No,No
523,0,57.919,16+,No,No
524,0,3.003,12-15,No,No
525,1,15.5465,<12,Yes,No
526,0,11.671,<12,Yes,No
527,0,13.498,12-15,No,No
528,1,6.483,<12,No,No
529,0,0.991,<12,No,No
530,0,13.807,16+,No,No
531,0,18.01,<12,No,No
532,0,15.707,<12,No,Yes
533,0,28.252,12-15,No,No
534,0,1.714,<12,No,No
535,1,1.328,12-15,No,No
536,1,10.2505,12-15,No,No
537,1,18.122,12-15,No,No
538,0,3.548,<12,No,No
539,0,12.723,12-15,No,No
540,1,13.1005,<12,No,No
541,0,3.548,12-15,No,No
542,1,31.5945,16+,No,No
543,0,8.063,<12,No,No
544,1,25.7495,12-15,No,No
545,0,30.251,16+,No,No
546,0,44.131,<12,No,No
547,1,6.869,<12,No,No
548,1,7.2715,12-15,No,No
549,1,22.7995,<12,Yes,No
550,1,8.9145,12-15,Yes,No
551,0,23.488,12-15,Yes,No
552,0,30.166,<12,No,No
553,1,11.001,12-15,No,No
554,1,31.0005,12-15,No,No
555,0,14.842,16+,No,No
556,0,8.11,16+,No,No
557,0,50.919,<12,Yes,No
558,0,9.719,16+,Yes,No
559,1,22.4995,<12,Yes,No
560,1,23.7505,<12,No,No
561,0,38.33,<12,No,No
562,0,31.373,<12,No,No
563,0,6.048,12-15,No,No
564,1,3.0005,16+,No,No
565,1,4.9885,16+,No,No
566,1,1.93,16+,No,No
567,1,20.167,12-15,No,No
568,1,20.3315,12-15,No,No
569,0,5.993,<12,No,No
570,1,2.0805,12-15,No,No
571,0,15.116,12-15,No,No
572,0,20.381,16+,No,No
573,0,21.832,12-15,No,No
574,0,46.806,12-15,No,No
575,0,8.843,16+,No,No
576,0,11.444,12-15,No,No
577,1,6.738,12-15,No,No
578,0,3.838,16+,No,No
579,0,30.185,12-15,No,No
580,1,3.42,<12,No,No
581,0,23.422,<12,No,No
582,0,36.474,12-15,No,No
583,0,36.474,12-15,No,No
584,0,42.924,12-15,No,No
585,0,42.924,12-15,No,No
586,0,30.913,12-15,No,No
587,0,32.986,16+,No,No
588,0,5.752,16+,No,No
589,0,0.548,<12,No,No
590,0,22.664,16+,No,No
591,0,38.595,12-15,No,No
592,0,38.587,12-15,No,No
593,0,18.404,12-15,No,No
594,0,16.504,12-15,No,No
595,0,42.834,12-15,No,No
596,0,4.838,<12,No,No
597,1,11.332,12-15,No,No
598,0,4.838,16+,No,No
599,0,45.626,16+,No,No
600,0,32.83,16+,No,No
601,0,12.172,12-15,No,No
602,0,13.194,12-15,No,No
603,0,12.172,12-15,No,No
604,0,11.047,12-15,No,No
605,0,46.333,<12,No,No
606,0,45.749,<12,No,No
607,0,35.584,12-15,No,No
608,0,28.999,12-15,No,No
609,0,23.702,12-15,No,No
610,0,50.084,<12,Yes,No
611,0,6.001,<12,Yes,No
612,0,4.0,12-15,Yes,No
613,1,15.7385,12-15,No,No
614,1,5.266,12-15,No,No
615,0,49.588,<12,No,No
616,1,12.419,12-15,No,No
617,1,3.001,16+,No,No
618,0,22.667,16+,No,No
619,0,25.027,16+,No,No
620,0,24.003,12-15,No,No
621,0,39.023,12-15,No,No
622,0,29.218,12-15,No,No
623,1,14.638,12-15,No,No
624,0,7.551,<12,No,No
625,1,10.9155,12-15,No,No
626,0,15.422,12-15,No,No
627,0,9.139,12-15,No,No
628,0,43.929,16+,No,No
629,1,6.505,12-15,No,No
630,0,30.546,12-15,No,No
631,0,58.916,16+,No,No
632,1,5.667,<12,No,No
633,0,22.935,<12,No,No
634,1,12.999,<12,No,No
635,0,21.999,12-15,Yes,No
636,0,45.437,<12,No,No
637,0,14.998,<12,No,No
638,0,62.861,<12,No,No
639,0,32.079,<12,No,No
640,0,9.914,12-15,No,No
641,0,6.152,16+,No,No
642,1,7.42,12-15,No,No
643,0,35.937,<12,No,No
644,0,38.001,<12,No,No
645,0,32.186,<12,No,No
646,0,19.997,12-15,No,No
647,1,5.013,12-15,Yes,No
648,0,39.001,12-15,No,No
649,0,5.86,<12,No,No
650,0,29.35,12-15,No,No
651,0,27.997,<12,No,No
652,0,2.001,12-15,No,No
653,0,30.749,<12,No,No
654,1,5.503,12-15,No,No
655,1,8.246,<12,No,No
656,0,33.919,16+,No,No
657,0,54.749,<12,No,No
658,1,11.5425,12-15,No,No
659,0,3.817,<12,No,No
660,1,28.8025,<12,No,No
661,0,20.756,16+,Yes,No
662,0,27.937,16+,No,No
663,0,20.55,12-15,No,No
664,1,8.8435,12-15,No,No
665,1,3.4195,12-15,No,No
666,1,2.1685,12-15,No,No
667,0,3.639,<12,No,No
668,0,8.523,12-15,No,No
669,1,31.477,16+,No,No
670,1,19.833,12-15,No,No
671,1,1.8315,12-15,No,No
672,1,5.166,12-15,No,No
673,1,1.199,<12,No,No
674,1,1.336,<12,No,No
675,0,22.322,<12,No,No
676,0,42.604,12-15,No,No
677,0,31.138,<12,No,No
678,0,7.496,<12,No,No
679,0,54.338,<12,No,No
680,0,54.001,<12,No,No
681,0,13.585,16+,No,No
682,0,37.823,<12,No,No
683,0,24.994,12-15,Yes,No
684,0,39.05,12-15,No,No
685,0,1.999,12-15,No,No
686,0,1.002,12-15,No,No
687,0,14.771,<12,No,No
688,1,1.673,<12,No,No
689,0,13.916,16+,No,No
690,0,8.991,16+,No,No
691,1,10.245,<12,No,No
692,1,15.915,<12,No,No
693,0,41.999,<12,No,No
694,0,41.999,<12,No,No
695,0,40.903,12-15,No,No
696,0,5.818,12-15,No,No
697,0,5.999,12-15,No,No
698,1,10.664,12-15,No,No
699,1,11.502,12-15,No,No
700,0,41.173,16+,No,No
701,0,17.889,12-15,No,No
702,0,25.221,12-15,No,No
703,0,22.782,12-15,No,No
704,0,40.107,12-15,No,No
705,0,11.693,16+,No,No
706,0,4.323,16+,No,No
707,0,3.995,16+,No,No
708,0,6.062,16+,No,No
709,0,10.116,16+,No,No
710,1,1.588,16+,No,No
711,0,7.064,16+,No,No
712,0,23.496,12-15,No,No
713,1,20.523,12-15,No,No
714,0,44.58,<12,No,No
715,0,31.42,<12,No,No
716,0,31.42,<12,No,No
717,1,7.0445,12-15,No,No
718,0,31.441,<12,No,No
719,0,6.111,12-15,No,No
720,0,24.646,12-15,No,No
721,1,27.918,<12,No,No
722,1,12.178,12-15,No,No
723,0,2.897,12-15,No,No
724,1,1.084,<12,No,No
725,1,2.5875,12-15,No,No
726,0,9.922,16+,No,No
727,0,18.998,12-15,No,No
728,0,17.706,12-15,No,No
729,0,2.867,12-15,No,No
730,0,41.848,<12,Yes,No
731,0,41.848,<12,Yes,No
732,1,6.834,<12,Yes,No
733,0,7.504,<12,Yes,No
734,1,19.759,12-15,No,No
735,0,6.694,12-15,No,No
736,0,3.636,<12,No,No
737,0,50.007,<12,No,No
738,0,44.235,<12,No,No
739,0,29.246,<12,No,No
740,0,8.572,<12,No,No
741,0,7.51,12-15,No,No
742,0,52.578,<12,No,No
743,0,23.411,<12,No,No
744,0,4.706,12-15,No,No
745,0,16.016,12-15,No,No
746,0,14.842,12-15,No,No
747,0,18.349,16+,No,No
748,0,18.349,16+,No,No
749,0,30.998,12-15,No,No
750,0,2.428,<12,No,No
751,1,8.085,12-15,No,No
752,0,5.708,<12,No,No
753,0,9.752,16+,No,No
754,1,19.414,12-15,No,No
755,0,7.504,12-15,No,No
756,0,21.741,12-15,No,No
757,0,45.867,12-15,No,No
758,0,15.784,12-15,No,No
759,0,18.664,12-15,No,No
760,0,1.697,<12,No,No
761,0,21.903,16+,No,No
762,1,20.9175,<12,No,No
763,0,14.051,12-15,No,No
764,1,1.254,12-15,No,No
765,0,22.376,<12,Yes,No
766,0,12.939,16+,No,No
767,0,3.001,<12,No,No
768,1,14.163,<12,No,No
769,0,22.919,16+,No,No
770,1,14.749,12-15,No,No
771,0,11.047,16+,No,No
772,0,2.634,12-15,No,No
773,0,7.466,16+,No,No
774,1,6.6815,<12,No,No
775,0,24.723,12-15,No,No
776,1,12.9915,12-15,No,No
777,0,9.517,12-15,No,No
778,0,24.723,12-15,No,No
779,0,22.686,16+,No,No
780,0,49.999,<12,No,No
781,0,50.864,<12,No,No
782,0,37.517,12-15,No,No
783,0,12.183,12-15,No,No
784,0,3.984,12-15,No,No
785,0,43.874,12-15,No,No
786,0,67.255,<12,No,No
787,0,15.718,12-15,No,No
788,0,20.843,<12,No,No
789,0,9.873,12-15,No,No
790,0,33.415,12-15,No,No
791,0,19.997,12-15,No,No
792,0,28.999,<12,No,No
793,0,41.251,<12,No,No
794,0,38.943,12-15,No,No
795,0,0.079,<12,No,No
796,0,31.179,<12,Yes,No
797,0,45.547,12-15,No,No
798,1,33.5795,12-15,No,No
799,0,17.016,12-15,No,No
800,0,8.227,12-15,No,No
801,0,17.016,16+,No,No
802,1,11.9505,16+,No,No
803,0,55.669,12-15,No,No
804,0,40.452,<12,No,No
805,1,12.668,12-15,No,No
806,0,2.075,<12,No,No
807,1,6.9265,12-15,No,No
808,1,16.293,12-15,No,No
809,0,33.665,<12,No,No
810,0,37.895,12-15,No,No
811,0,18.943,16+,No,No
812,0,30.998,<12,No,No
813,0,30.998,<12,No,No
814,1,6.4835,16+,No,No
815,0,7.244,16+,No,No
816,0,31.061,<12,No,No
817,0,32.832,<12,No,No
818,1,11.168,12-15,No,No
819,0,5.665,<12,No,No
820,0,59.384,<12,No,No
821,0,24.726,12-15,No,No
822,0,24.726,12-15,No,No
823,1,15.039,<12,No,No
824,1,16.7475,12-15,No,No
825,1,3.4605,12-15,No,No
826,0,2.505,12-15,No,No
827,0,24.876,16+,No,No
828,0,5.796,12-15,Yes,No
829,0,6.672,12-15,No,No
830,0,7.647,16+,No,No
831,0,28.999,16+,Yes,No
832,0,40.868,12-15,No,No
833,0,39.918,12-15,No,No
834,0,18.902,16+,No,No
835,1,7.915,12-15,No,No
836,0,7.452,<12,No,No
837,0,28.78,16+,No,No
838,1,3.581,16+,No,No
839,0,9.029,16+,No,No
840,0,20.022,16+,No,No
841,0,12.142,16+,No,No
842,0,29.914,16+,No,No
843,0,48.862,<12,No,No
844,0,22.376,12-15,No,No
845,0,44.824,<12,No,No
846,0,46.086,<12,No,No
847,0,37.752,<12,No,No
848,0,15.765,16+,No,No
849,1,8.835,<12,No,No
850,1,34.3685,16+,No,No
851,1,5.9605,<12,No,No
852,0,23.496,16+,No,No
853,0,48.32,<12,Yes,No
854,0,19.833,16+,No,No
855,1,3.833,12-15,No,No
856,0,3.732,12-15,No,No
857,0,15.012,<12,No,No
858,1,13.834,<12,No,No
859,0,44.339,<12,Yes,No
860,1,7.3755,12-15,No,No
861,0,73.068,<12,No,No
862,1,28.1245,<12,Yes,No
863,1,28.0875,<12,No,No
864,0,41.689,<12,No,No
865,0,2.001,<12,No,No
866,0,2.001,<12,No,No
867,0,6.267,<12,No,No
868,1,5.1965,<12,No,No
869,0,19.997,12-15,No,No
870,0,42.461,16+,No,No
871,0,46.04,12-15,No,No
872,0,2.04,<12,No,No
873,1,14.3735,12-15,No,No
874,0,51.852,<12,No,No
875,1,8.652,12-15,No,No
876,1,30.7255,<12,No,No
877,0,35.619,12-15,No,No
878,0,23.754,12-15,No,No
879,0,28.0,16+,No,No
880,1,1.9135,12-15,No,No
881,1,1.4345,<12,No,No
882,0,46.004,<12,No,No
883,1,10.579,12-15,No,No
884,1,9.1635,<12,No,No
885,0,47.833,<12,No,No
886,0,12.0,<12,No,No
